Date,Open,High,Low,Close
01/04/2023,1210.95,1270.50,1209.61,1252.16
01/03/2023,1219.58,1219.65,1205.82,1210.65
01/02/2023,1202.11,1221.34,1192.89,1221.34
01/01/2023,1199.52,1203.55,1190.86,1202.11
12/31/2022,1197.51,1206.99,1192.00,1199.52
12/30/2022,1195.20,1203.03,1183.27,1197.20
12/29/2022,1186.77,1205.19,1184.00,1195.20
12/28/2022,1210.29,1213.92,1184.36,1186.77
12/27/2022,1216.70,1232.38,1201.00,1210.24
12/26/2022,1218.33,1223.09,1212.78,1216.70
12/25/2022,1218.83,1222.84,1198.79,1218.33
12/24/2022,1221.85,1225.79,1214.41,1218.69
12/23/2022,1215.00,1228.61,1212.65,1221.85
12/22/2022,1211.11,1232.01,1184.71,1215.00
12/21/2022,1216.14,1220.82,1204.15,1211.12
12/20/2022,1176.05,1227.48,1152.91,1216.55
12/19/2022,1182.88,1194.39,1166.92,1176.05
12/18/2022,1178.99,1196.19,1172.90,1182.99
12/17/2022,1194.61,1196.77,1156.61,1179.27
12/16/2022,1264.60,1279.11,1185.74,1194.61
12/15/2022,1310.85,1311.07,1261.23,1264.65
12/14/2022,1320.16,1348.31,1300.24,1310.85
12/13/2022,1275.08,1345.16,1256.69,1320.19
12/12/2022,1263.88,1278.80,1241.44,1275.15
12/11/2022,1268.94,1282.99,1262.37,1264.92
12/10/2022,1259.85,1282.95,1259.85,1268.94
12/09/2022,1278.32,1291.07,1257.12,1259.91
12/08/2022,1231.63,1290.41,1222.37,1278.18
12/07/2022,1256.20,1275.65,1220.78,1231.63
12/06/2022,1259.49,1269.92,1242.87,1256.66
12/05/2022,1277.23,1304.49,1248.00,1259.46
12/04/2022,1260.89,1282.29,1238.00,1277.23
12/03/2022,1291.21,1303.19,1255.81,1260.76
12/02/2022,1276.85,1296.25,1266.38,1290.99
12/01/2022,1296.99,1305.67,1263.68,1276.85
11/30/2022,1219.38,1299.77,1212.15,1296.99
11/29/2022,1172.32,1225.15,1158.48,1219.38
11/28/2022,1215.05,1216.62,1150.38,1172.11
11/27/2022,1209.93,1222.21,1197.00,1216.21
11/26/2022,1199.07,1229.93,1195.54,1209.93
11/25/2022,1195.20,1204.96,1171.43,1199.67
11/24/2022,1168.79,1215.22,1167.83,1195.20
11/23/2022,1129.80,1187.60,1125.54,1168.79
11/22/2022,1093.18,1139.85,1076.05,1130.19
11/21/2022,1140.83,1152.39,1080.00,1092.64
11/20/2022,1210.00,1230.91,1136.94,1139.38
11/19/2022,1208.74,1212.50,1197.11,1210.00
11/18/2022,1205.70,1228.45,1196.13,1208.80
11/17/2022,1206.04,1226.63,1183.07,1205.70
11/16/2022,1244.55,1266.38,1186.25,1206.04
11/15/2022,1226.14,1290.49,1212.90,1244.39
11/14/2022,1215.00,1287.46,1173.80,1226.43
11/13/2022,1255.80,1271.34,1202.53,1216.60
11/12/2022,1265.94,1291.02,1237.34,1255.72
11/11/2022,1320.71,1325.99,1203.14,1265.94
11/10/2022,1105.06,1346.59,1074.18,1320.71
11/09/2022,1331.12,1343.65,1102.21,1105.81
11/08/2022,1575.00,1577.13,1230.93,1335.07
11/07/2022,1604.05,1608.20,1547.00,1575.70
11/06/2022,1631.71,1639.09,1603.30,1604.04
11/05/2022,1646.01,1663.76,1624.04,1631.71
11/04/2022,1541.15,1674.39,1525.40,1647.04
11/03/2022,1511.44,1559.00,1502.38,1541.15
11/02/2022,1575.51,1619.41,1503.47,1513.45
11/01/2022,1566.34,1609.22,1552.03,1575.52
10/31/2022,1595.49,1634.39,1551.93,1566.34
10/30/2022,1627.40,1639.04,1577.78,1595.49
10/29/2022,1560.09,1661.78,1548.80,1627.40
10/28/2022,1527.86,1571.86,1486.05,1561.00
10/27/2022,1554.21,1583.60,1510.00,1527.81
10/26/2022,1473.77,1591.78,1451.58,1554.46
10/25/2022,1351.90,1523.50,1335.38,1473.00
10/24/2022,1330.22,1369.79,1324.75,1351.91
10/23/2022,1316.05,1335.98,1301.38,1330.22
10/22/2022,1302.46,1319.02,1295.00,1316.05
10/21/2022,1281.77,1306.55,1255.00,1302.46
10/20/2022,1293.98,1310.00,1271.74,1281.77
10/19/2022,1314.53,1314.79,1288.81,1293.99
10/18/2022,1330.45,1340.54,1287.75,1314.44
10/17/2022,1311.01,1337.00,1292.07,1330.45
10/16/2022,1280.75,1314.50,1263.48,1311.01
10/15/2022,1302.20,1302.27,1278.00,1280.85
10/14/2022,1293.78,1342.09,1282.72,1302.20
10/13/2022,1298.92,1302.57,1194.37,1294.30
10/12/2022,1282.48,1305.46,1274.39,1298.57
10/11/2022,1307.39,1309.38,1268.87,1282.78
10/10/2022,1320.90,1337.61,1296.73,1307.39
10/09/2022,1325.20,1328.96,1305.00,1320.90
10/08/2022,1332.01,1337.30,1319.67,1325.20
10/07/2022,1364.00,1364.00,1318.02,1332.01
10/06/2022,1345.16,1383.43,1345.16,1363.88
10/05/2022,1361.75,1367.10,1316.26,1346.06
10/04/2022,1324.07,1367.96,1315.54,1362.09
10/03/2022,1303.74,1329.64,1264.34,1323.92
10/02/2022,1309.66,1317.39,1287.43,1303.74
10/01/2022,1331.24,1333.78,1303.59,1309.66
09/30/2022,1338.25,1372.24,1315.66,1331.30
09/29/2022,1351.19,1354.71,1289.61,1338.25
09/28/2022,1324.73,1353.85,1259.34,1351.26
09/27/2022,1325.06,1399.29,1305.12,1324.42
09/26/2022,1292.44,1340.08,1269.77,1325.05
09/25/2022,1342.22,1342.25,1283.90,1293.03
09/24/2022,1301.51,1348.00,1299.47,1342.22
09/23/2022,1324.00,1356.71,1263.26,1301.98
09/22/2022,1313.67,1335.46,1222.52,1324.18
09/21/2022,1343.06,1410.00,1307.81,1313.67
09/20/2022,1357.73,1391.00,1330.60,1342.61
09/19/2022,1370.86,1371.92,1282.05,1357.73
09/18/2022,1462.59,1473.43,1367.80,1370.86
09/17/2022,1436.00,1474.87,1409.84,1462.59
09/16/2022,1504.53,1504.53,1409.79,1436.00
09/15/2022,1603.38,1653.00,1461.45,1504.22
09/14/2022,1607.87,1622.82,1554.90,1603.66
09/13/2022,1724.26,1757.20,1573.33,1607.50
09/12/2022,1759.33,1780.59,1695.38,1724.26
09/11/2022,1734.29,1788.48,1734.29,1759.33
09/10/2022,1721.01,1744.62,1706.35,1734.07
09/09/2022,1644.80,1742.92,1627.55,1720.62
