Date,1/1/2021,12/31/2020,12/30/2020,12/29/2020,12/28/2020,12/27/2020,12/26/2020,12/25/2020,12/24/2020,12/23/2020,12/22/2020,12/21/2020,12/20/2020,12/19/2020,12/18/2020,12/17/2020,12/16/2020,12/15/2020,12/14/2020,12/13/2020,12/12/2020,12/11/2020,12/10/2020,12/9/2020,12/8/2020,12/7/2020,12/6/2020,12/5/2020,12/4/2020,12/3/2020,12/1/2020,11/30/2020,11/29/2020,11/28/2020,11/27/2020,11/26/2020,11/25/2020,11/24/2020,11/23/2020,11/22/2020,11/21/2020,11/20/2020,11/19/2020,11/18/2020,11/17/2020,11/16/2020,11/15/2020,11/14/2020,11/13/2020,11/12/2020,11/11/2020,11/10/2020,11/9/2020,11/8/2020,11/7/2020,11/6/2020,11/5/2020,11/4/2020,11/3/2020,11/2/2020,11/1/2020,10/31/2020,10/30/2020,10/29/2020,10/28/2020,10/27/2020,10/26/2020,10/25/2020,10/24/2020,10/23/2020,10/22/2020,10/21/2020,10/20/2020,10/19/2020,10/18/2020,10/17/2020,10/16/2020,10/15/2020,10/14/2020,10/13/2020,10/12/2020,10/11/2020,10/10/2020,10/9/2020,10/8/2020,10/7/2020,10/6/2020,10/5/2020,10/4/2020,10/3/2020,10/2/2020,10/1/2020,9/30/2020,9/29/2020,9/28/2020,9/27/2020,9/26/2020,9/25/2020,9/24/2020,9/23/2020,9/22/2020,9/21/2020,9/20/2020,9/19/2020,9/18/2020,9/17/2020,9/16/2020,9/15/2020,9/14/2020,9/13/2020,9/12/2020,9/11/2020,9/10/2020,9/9/2020,9/8/2020,9/7/2020,9/6/2020,9/5/2020,9/4/2020,9/3/2020,9/2/2020,9/1/2020,8/31/2020,8/30/2020,8/29/2020,8/28/2020,8/27/2020,8/26/2020,8/25/2020,8/24/2020,8/23/2020,8/22/2020,8/21/2020,8/20/2020,8/19/2020,8/18/2020,8/17/2020,8/16/2020,8/15/2020,8/14/2020,8/13/2020,8/12/2020,8/11/2020,8/10/2020,8/9/2020,8/8/2020,8/7/2020,8/6/2020,8/5/2020,8/4/2020,8/3/2020,8/2/2020,8/1/2020,7/31/2020,7/30/2020,7/29/2020,7/28/2020,7/27/2020,7/26/2020,7/25/2020,7/24/2020,7/23/2020,7/22/2020,7/21/2020,7/20/2020,7/19/2020,7/18/2020,7/17/2020,7/16/2020,7/15/2020,7/14/2020,7/13/2020,7/12/2020,7/11/2020,7/10/2020,7/9/2020,7/8/2020,7/7/2020,7/6/2020,7/5/2020,7/4/2020,7/3/2020,7/2/2020,7/1/2020,6/30/2020,6/29/2020,6/28/2020,6/27/2020,6/26/2020,6/25/2020,6/24/2020,6/23/2020,6/22/2020,6/21/2020,6/20/2020,6/19/2020,6/18/2020,6/17/2020,6/16/2020,6/15/2020,6/14/2020,6/13/2020,6/12/2020,6/11/2020,6/10/2020,6/9/2020,6/8/2020,6/7/2020,6/6/2020,6/5/2020,6/4/2020,6/3/2020,6/2/2020,6/1/2020,5/31/2020,5/30/2020,5/29/2020,5/28/2020,5/27/2020,5/26/2020,5/25/2020,5/24/2020,5/23/2020,5/22/2020,5/21/2020,5/20/2020,5/19/2020,5/18/2020,5/17/2020,5/16/2020,5/15/2020,5/14/2020,5/13/2020,5/12/2020,5/11/2020,5/10/2020,5/9/2020,5/8/2020,5/7/2020,5/6/2020,5/5/2020,5/4/2020,5/3/2020,5/2/2020,5/1/2020,4/30/2020,4/29/2020,4/28/2020,4/27/2020,4/26/2020,4/25/2020,4/24/2020,4/23/2020,4/22/2020,4/21/2020,4/20/2020,4/19/2020,4/18/2020,4/17/2020,4/16/2020,4/15/2020,4/14/2020,4/13/2020,4/12/2020,4/11/2020,4/10/2020,4/9/2020,4/8/2020,4/7/2020,4/6/2020,4/5/2020,4/4/2020,4/3/2020,4/2/2020,4/1/2020,3/31/2020,3/30/2020,3/29/2020,3/28/2020,3/27/2020,3/26/2020,3/25/2020,3/24/2020,3/23/2020,3/22/2020,3/21/2020,3/20/2020,3/19/2020,3/18/2020,3/17/2020,3/16/2020,3/15/2020,3/14/2020,3/13/2020,3/12/2020,3/11/2020,3/10/2020,3/9/2020,3/8/2020,3/7/2020,3/6/2020,3/5/2020,3/4/2020,3/3/2020,3/2/2020,3/1/2020,2/29/2020,2/28/2020,2/27/2020,2/26/2020,2/25/2020,2/24/2020,2/23/2020,2/22/2020,2/21/2020,2/20/2020,2/19/2020,2/18/2020,2/17/2020,2/16/2020,2/15/2020,2/14/2020,2/13/2020,2/12/2020,2/11/2020,2/10/2020,2/9/2020,2/8/2020,2/7/2020,2/6/2020,2/5/2020,2/4/2020,2/3/2020,2/2/2020,2/1/2020,1/31/2020,1/30/2020,1/29/2020,1/28/2020,1/27/2020,1/26/2020,1/25/2020,1/24/2020,1/23/2020,1/22/2020,1/21/2020,1/20/2020,1/19/2020,1/18/2020,1/17/2020,1/16/2020,1/15/2020,1/14/2020,1/13/2020,1/12/2020,1/11/2020,1/10/2020,1/9/2020,1/8/2020,1/7/2020,1/6/2020,1/5/2020,1/4/2020,1/3/2020,1/2/2020,1/1/2020
Open,739.27,749,724.42,727.25,676.53,646.98,618.87,604.61,597.37,622.4,618.41,632.71,666.53,651.21,641.05,630,589.03,586.2,591.71,570.95,549.44,563.72,575.91,565.86,588.47,599.41,592.21,580.8,615.43,600,605.59,568.4,544.02,515.99,515.1,577.39,600.08,606.14,572.66,544.32,509.05,473,474.59,480.89,459.66,444.01,460.06,472.29,463.2,466.51,452.69,447.73,450.2,435.83,445.54,413.69,401.79,383.39,385.66,397.44,387.94,384.38,389.06,385.92,403.41,393,407.8,412,409,417.85,395.17,368.4,379.65,375.92,367.12,366.74,380.56,376.75,380.24,387.6,373.27,374.42,364.05,351.65,340.51,337.28,351.99,351.55,349.07,346.54,351.61,356.9,357.66,362.73,353.21,353.68,354.93,345.67,321.9,344.72,346.7,369.55,386.03,380.21,393.06,365.72,365.6,376.32,363,383.63,368.79,365.72,353.23,335.63,345.37,351.73,331.14,391.78,406.2,436.39,482,432.27,422.97,405.29,394.2,379.43,389.6,377.59,401.06,392.67,388.65,395.04,416.37,404.75,427.15,437.86,430.1,432.28,439,415.96,386.46,373,395.41,393.24,388.43,377.54,396.87,400.56,388.46,391,373.32,386.97,345.63,338.67,322.41,320.01,324.43,310.35,306.03,286.58,273.34,245.9,245.08,236.4,235.71,236.35,232.35,232.63,238.17,241.39,238.92,238.75,238.87,239.29,241.24,246.56,238.57,238.25,224.95,229.21,226.87,226.29,231.51,225.47,227.73,224.81,218.34,230.26,233.61,234.7,243.52,245.11,228.99,227.58,229.22,228.52,231.1,233.73,233.4,234.12,236.94,237.66,232.37,247.88,243.52,242.21,242.57,242.21,241.5,241.77,241.67,236.37,242.34,235.6,235.38,219.97,214.49,206.26,202.33,204.91,206.4,207.97,208.13,198.92,210.4,212.54,212.8,208.03,200.21,193.26,202.56,198.37,189.78,186.74,188.59,212.06,214.66,211.71,205.59,205.67,207.93,208.08,214.16,209.77,211.8,217,196.58,193.52,197.22,194,188.19,189.12,183,172.71,172.42,181.6,183.48,170.84,172.5,157.77,159.26,157.7,164.06,154.79,159.4,170.29,172.18,163,164,142.38,144.06,140.75,140.59,132.33,134.68,134.04,125.65,131.02,137.65,136.78,135.38,139.89,132.3,124.27,135.34,125.36,137.25,116.47,119.53,109.35,120.06,127.32,128.72,127.78,193.15,202.94,198.32,209.6,238.7,240.83,231.1,222.8,223.91,232.48,215.02,223.51,226.11,226.55,223.68,249.9,261.86,271.69,262.88,263.21,259.38,261.72,281.16,260.4,252,268.28,282.83,262.76,270,237.34,222.57,225.2,223.2,219.42,213.35,206.72,187.39,189.48,191.41,182.31,180.68,184.96,175.69,172.36,171.13,166.97,161.37,163.1,162.25,167.55,168.91,166.99,165.71,176.46,170.98,163.11,165.28,164.62,144.17,144.43,143.89,142.96,136.75,139.08,142.54,141.5,135.06,133.93,132.34,127.44,131.52,128.41
High,749.88,755.24,757.15,738.97,746.5,714.52,651.83,633.24,609.95,637.95,634.13,648,666.88,669,663.74,676.29,632.64,596.49,592.78,595,571.84,564.41,577.51,577.96,594.99,603.77,607.36,597.55,620,624,636.31,614.07,569.83,548.5,530.8,579.7,606.39,622.72,608.47,576.15,545.45,514.53,481.99,494.99,484.9,465.99,463.95,478.38,474.85,470,476.54,455,459.49,460.23,468.14,449.37,418,408.55,385.89,404.26,397.24,393.14,392,394.01,409.03,410.33,411.28,417.67,416.49,421.08,419.57,398.45,380.72,384.07,377.18,370.37,380.56,381.43,387.34,395.27,389.42,377.4,378.24,366,353.06,342.69,355,355.46,354.45,351.09,354.1,369.18,360.32,363.77,367.9,362.2,357.55,358,348.83,346.9,349.5,376.31,386.03,387.84,393.99,394.2,373.43,382,384.15,389.77,386.66,372.57,377.69,358.97,356.36,359.9,357.38,394.5,407.66,450,488.26,486,438.99,427.92,405.67,397.87,396.85,393.5,410.39,408.64,396.9,397,419.39,418.51,429.09,440.11,447.03,437.08,443.11,444.35,411.28,389.44,398.37,400,400.35,393.51,399,407.81,402,402.85,398.28,415.05,388.59,348.01,341.91,325.27,333.46,329.5,319.82,308.01,286.94,279.81,246.19,246.9,240,236.35,236.96,234.38,239.11,241.42,241.9,245.26,243.79,241.69,242.08,248.32,248.9,243.69,240.58,229.95,230.62,228.18,232.06,232.76,229.82,227.95,227.57,231.33,234.78,235.42,249.23,246.4,245.43,231,230.66,232.05,234.45,237.01,236.01,234.22,238.37,238.62,239.19,250.04,250.12,249.8,245.59,244.08,244.39,247.58,246.66,242.9,253.39,242.63,246.5,238.65,224.62,215.45,207.8,205,207.9,210.61,211.5,209.21,211.41,215.45,215.93,216.95,209.68,203.17,204.45,206.14,199.38,192.42,193.71,212.06,215.23,216.91,214.52,211.16,212.1,211.65,218.92,215.71,217.15,227.22,218.61,198.1,199.2,199.77,198,191,193.49,184.13,174.62,186.74,189.89,185.17,174.94,174.14,161.47,162.06,164.57,165.4,161.53,171.14,173.86,174.5,176.29,167.36,145.96,146.56,146.83,150,135.19,135.35,134.93,132.64,137.76,141.82,138.85,142.76,144.07,137.66,137.67,137.99,152.54,140.51,120.22,121.09,132.85,129.2,138.34,142.63,195.78,203.5,206.42,212.06,240.87,252,241.49,234.6,228.83,233.16,235.52,227.6,233.31,234.37,238,252.88,266.2,278.01,275.45,266.97,268.48,266.57,287,286.25,263.24,273.82,288.94,285.93,277.9,275.57,239.48,229.4,230.67,227.94,224.49,216.07,207.8,191.28,195,193.16,184,186.6,185,178.53,174.86,171.75,167.36,163.67,164.3,167.72,170.92,169.58,167.7,177.74,179,173.48,167.19,171.61,170,146.99,145.6,147.9,145.03,141.57,147.91,145.26,142.86,138.25,135.58,134.58,131.52,132.86
Low,717.01,725.29,719.43,688.86,676.53,625,616.05,604.59,550,592.7,587.85,599.11,631.38,646.97,630.01,628.56,581.5,579.31,576.06,564.23,543.5,536.01,548.29,530.45,560.39,584.76,584,561.52,578.74,587.57,568.32,563.98,531.6,507.1,494.37,481.32,574.77,593,551.12,512.1,503.66,469.62,465.52,460.01,458.46,440.5,442.01,452.75,458.39,452.96,450.02,439.39,434.8,431,425,413.29,396.95,377.35,371.02,378.16,385.07,380.86,374.06,380.95,381.1,390.52,383.44,404.4,407.55,402.22,390.9,367.86,367.06,373.14,367.12,363.5,362.72,370.47,373.5,374.7,365.75,369.3,363.28,347.9,334.81,333.02,337,349.18,344,341.9,335.4,345.85,351.5,350.4,352.36,347.51,346.8,337.84,317.1,314.76,335.6,332.46,365.22,377.31,375.89,363.49,355.21,362.57,356.43,354,365.75,356,350.81,325.93,331.1,323.62,316.83,311.04,360.9,391,422.23,430.04,418.23,398.4,391.05,379,372.01,377.59,370.26,387.82,384.01,379.28,395.01,402.92,394.25,415.52,420.71,412.9,430.25,413.88,377.85,367.17,367.04,387.34,384.37,376.62,365.43,392.79,384.87,381.51,368.01,338.72,343.5,329.01,314.9,313.31,306.74,309.67,300.51,278.39,268.85,245.56,242.18,235.48,234.48,233.41,232.29,231.54,230.06,236.64,236.93,237.46,236.79,237.74,235.8,238.04,237.41,234.61,223.59,223.88,224.5,225.48,223.04,224.16,222.87,221.23,217.8,215.9,227.5,227.6,231.03,240.85,227.18,227.57,225.99,226.61,228.28,228.29,228.8,218.21,233.09,234.65,228.04,227.21,185.52,240.79,241.22,235,237.8,239.11,236.46,233.6,226.22,229.97,232.07,218.66,213.52,204.66,200.5,197.11,198.2,201.76,205,196.56,191.73,206.8,209.45,206.34,199.63,192.89,191.98,196.5,187.14,183.77,176.99,180.97,208.55,207.46,196.99,202.33,202.21,195.15,205.52,209.77,205.41,202.5,195.92,192.59,190.62,191.83,186.06,184.03,178.63,170.09,168.62,167.44,177.11,169.76,168.71,148.49,155.53,155.69,150.2,154.5,154.22,152.85,165.77,162.71,162.81,142.02,141.17,139.17,137.97,131.92,129.08,130.35,124.02,124.01,125.13,134.75,133.72,133.48,131.3,120.65,121.87,124.77,116.3,115.35,110.39,107.38,101.11,120.1,125.62,89.98,125.27,182.02,195.12,190.57,204.01,236.76,226.81,222.8,220.77,220.31,214.68,212.4,221.5,214.33,210.14,216.31,245.7,257,261.13,257.18,254.75,247.34,252.1,259.08,243.05,238,261,260.54,257,236.55,217.7,217,221.84,213.44,210.57,201.21,187.2,184,186.43,179.41,178.84,175.12,170.5,172.2,169.22,165.07,159.12,157.51,155.35,159,165.61,164.78,160.97,161.98,164.97,162.09,158.87,159.05,143.45,142.12,141.74,141.8,135.29,135.33,137.22,139.01,134.01,133.71,131.94,125.43,126.18,127.93
Close,729.99,739.08,749.13,723.94,726.77,676.41,647,618.92,605.1,597.37,622.83,618.46,634.8,666.95,651.36,641.26,629.38,588.63,586.06,591.64,570.91,549.44,563.66,576.17,566.01,588.61,599.42,592.41,581.81,615.43,604.51,605.2,566.54,543.92,515.87,512.59,578.49,601.02,606.93,573.94,544.31,508.87,472.98,474.31,480.99,459.25,444,460.06,472.28,462.55,467.16,451.73,447.9,450.45,435.58,447.2,413.65,401.11,383.35,385.91,396.63,387.94,384.31,389.05,385.94,403.95,392.9,408.1,412.01,409.4,417.8,395.25,368.66,379.65,375.92,367.12,366.6,380.56,376.73,380.19,387.64,373.72,374.58,364.05,351.65,340.51,337.25,351.99,351.55,349.07,346.32,351.61,356.64,357.72,362.73,353.33,353.68,354.9,345.66,321.9,344.85,346.59,369.6,386.03,380.61,392.15,365.71,365.56,376.32,363,383.27,368.43,365.39,353.69,335.66,344.7,351.89,333.29,391.78,405.9,436.64,482.44,432.33,423,405.21,394.21,379.69,389.32,377.4,401.41,392.69,388.71,395.03,416.3,404.4,427.07,437.85,430.72,432.5,438.99,409.8,386.61,373.99,395.53,393.23,388.49,378.01,396.81,400.58,388.46,390.64,374.39,386.82,345.73,339.11,322.64,319.74,324.25,310.92,305.82,286.37,273.34,245.92,245.08,236.4,235.71,236.35,232.53,232.61,238.17,241.35,238.87,238.76,238.71,239.29,241.31,246.24,238.57,238.25,225.09,229.21,226.88,226.29,231.51,225.47,227.3,224.85,218.6,230.27,233.61,234.6,243.52,244.65,228.99,227.58,229.2,229.06,231.1,233.73,232.68,234.12,236.94,237.67,232.37,247.75,243.52,242.1,241.85,242.17,241,241.91,241.63,236.64,241.75,235.7,235.38,219.97,214.36,206.29,202.2,204.9,206.41,208.02,208.24,199.05,210.4,212.41,212.65,208.06,200.11,193.24,202.56,198.3,189.99,186.65,188.02,212.07,214.66,211.62,205.59,205.4,207.89,207.98,214.15,209.77,211.8,217,196.59,193.67,196.86,194.4,187.87,189.12,182.94,172.61,171.7,181.7,183.47,170.84,172.5,157.77,159.28,156.73,163.91,154.72,159.09,170.73,172.12,163.62,164.09,142.49,143.7,140.69,140.95,132.33,134.68,134.04,125.59,131.17,137.43,136.79,135.45,139.86,132.2,124.2,135.46,125.21,137.25,116.41,119.22,109.21,120.1,127.62,128.62,128.64,192.7,202.76,198.36,209.61,238.78,240.83,231.1,222.8,223.91,232.68,214.38,223.51,226.49,226.19,223.79,249.9,261.86,271.7,262.88,263.06,259.63,262.99,280.87,260.41,251.9,268.28,282.92,262.8,270,237.2,222.31,225.2,223.21,219.42,213.35,206.36,187.38,189.48,191.67,182.3,180.64,184.77,175.82,172.37,171.11,167.11,161.29,163.1,162.28,167.55,168.91,167.04,165.71,176.46,170.87,163.23,165.28,163.72,144.17,144.53,144.11,142.96,136.75,139.12,142.54,141.5,135.28,133.93,132.34,127.44,131.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
